"symbol","class","timeframe","dataset_file","strategy","family","params","status","approval_pf","approval_trades","approval_winrate","approval_maxdd","approval_payoff"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","EMA_CROSS","TREND","fast=9;slow=55","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","SMA_CROSS","TREND","fast=9;slow=89","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","EMA_CROSS","TREND","fast=9;slow=89","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","SMA_CROSS","TREND","fast=9;slow=144","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","EMA_CROSS","TREND","fast=9;slow=144","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","SMA_CROSS","TREND","fast=13;slow=21","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","EMA_CROSS","TREND","fast=13;slow=21","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","SMA_CROSS","TREND","fast=13;slow=34","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","EMA_CROSS","TREND","fast=13;slow=34","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","SMA_CROSS","TREND","fast=13;slow=55","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","EMA_CROSS","TREND","fast=13;slow=55","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","SMA_CROSS","TREND","fast=13;slow=89","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","EMA_CROSS","TREND","fast=13;slow=89","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","SMA_CROSS","TREND","fast=13;slow=144","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","EMA_CROSS","TREND","fast=13;slow=144","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","SMA_CROSS","TREND","fast=21;slow=34","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","EMA_CROSS","TREND","fast=21;slow=34","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","SMA_CROSS","TREND","fast=21;slow=55","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","EMA_CROSS","TREND","fast=21;slow=55","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","SMA_CROSS","TREND","fast=21;slow=89","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","EMA_CROSS","TREND","fast=21;slow=89","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","SMA_CROSS","TREND","fast=21;slow=144","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","EMA_CROSS","TREND","fast=21;slow=144","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=20;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=20;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=20;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=20;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=25;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=25;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=25;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=25;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=30;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=30;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=30;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=30;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=35;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=35;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=35;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=35;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=20;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=20;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=20;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=20;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=25;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=25;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=25;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=25;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=30;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=30;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=30;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=30;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=35;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=35;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=35;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=35;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=14;low=20;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=14;low=20;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=14;low=20;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=14;low=20;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=14;low=25;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=14;low=25;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=14;low=25;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=14;low=25;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=14;low=30;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=14;low=30;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=14;low=30;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=14;low=30;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=14;low=35;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=14;low=35;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=14;low=35;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=14;low=35;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=21;low=20;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=21;low=20;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=21;low=20;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=21;low=20;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M15.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=21;low=25;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
